station_name,line,latitude,longitude
103rd St,1,-73.968379,40.799446
103rd St,4-6-6 Express,-73.947478,40.7906
103rd St,A-B-C,-73.96137008,40.79606074
103rd St-Corona Plaza,7,-73.8627,40.749865
104th St,A-S,-73.837683,40.681711
104th St,J-Z,-73.844435,40.695166
110th St,4-6-6 Express,-73.94425,40.79502
111th St,7,-73.855334,40.75173
111th St,A-S,-73.832163,40.684331
111th St,J,-73.83679338,40.69711481
116th St,3-Feb,-73.949625,40.802098
116th St,4-6-6 Express,-73.941617,40.798629
116th St,A-B-C,-73.95479778,40.80505813
116th St-Columbia University,1,-73.96411,40.807722
121st St,J-Z,-73.828349,40.700482
125th St,1,-73.958372,40.815581
125th St,3-Feb,-73.945495,40.807754
125th St,4-5-6-6 Express,-73.937594,40.804138
125th St,A-B-C-D,-73.952248,40.81107167
135th St,3-Feb,-73.94077,40.814229
135th St,A-B-C,-73.94753481,40.81790556
137th St-City College,1,-73.953676,40.822008
138th St-Grand Concourse,5-Apr,-73.929849,40.813224
145th St,1,-73.95036,40.826551
145th St,3,-73.936245,40.820421
145th St,A-B-C-D,-73.94408793,40.82476636
149th St-Grand Concourse,NA,-73.92705361,40.81831679
14th St-Union Sq,NA,-73.99038654,40.73510286
14th St/6th Ave,NA,-73.9980536,40.73793182
14th St/8th Ave,NA,-74.002134,40.74033483
155th St,A-C,-73.941514,40.830518
155th St,B-D,-73.938209,40.830135
157th St,1,-73.94489,40.834041
15th St-Prospect Park,F-G,-73.97973581,40.66003569
161st St-Yankee Stadium,NA,-73.925671500000007,40.82806766
163rd St-Amsterdam Ave,A-C,-73.939892,40.836013
167th St,4,-73.9214,40.835537
167th St,B-D,-73.918432,40.833769
168th St,NA,-73.939847,40.8406375
169th St,F,-73.7934742,40.7105175
170th St,4,-73.917791,40.840075
170th St,B-D,-73.9134,40.839306
174th-175th Sts,B-D,-73.910136,40.8459
174th St,5-Feb,-73.8876936,40.83719555
175th St,A,-73.939704,40.847391
176th St,4,-73.911794,40.84848
181st St,1,-73.933596,40.849505
181st St,A,-73.937969,40.851695
182nd-183rd Sts,B-D,-73.900741,40.856093
183rd St,4,-73.903879,40.858407
18th Ave,D,-74.00159259,40.60773573
18th Ave,F,-73.976971,40.62975467
18th Ave,N,-73.990454,40.620687
18th St,2-Jan,-73.997871,40.74104
190th St,A,-73.93418,40.859022
191st St,1,-73.929412,40.855225
1st Ave,L,-73.98168087,40.73097498
207th St,1,-73.918819,40.864614
20th Ave,D,-73.99817432,40.604677
20th Ave,N,-73.984522,40.617109
215th St,1,-73.915279,40.869444
219th St,5-Feb,-73.86250971,40.88388797
21st St,G,-73.9496,40.74412867
21st St-Queensbridge,F,-73.94193761,40.75373927
225th St,5-Feb,-73.86021462,40.88802826
231st St,1,-73.904834,40.878856
233rd St,5-Feb,-73.8573624,40.89314324
238th St,1,-73.90087,40.884667
23rd St,2-Jan,-73.995657,40.744081
23rd St,4-6-6 Express,-73.986599,40.739864
23rd St,A-C-E,-73.998041,40.745906
23rd St,F-M,-73.992765,40.74295432
23rd St,N-Q-R-W,-73.989344,40.74130267
25th Ave,D,-73.986829,40.59770367
25th St,D-N-R,-73.998091,40.66039667
28th St,2-Jan,-73.993365,40.747215
28th St,4-6-6 Express,-73.984264,40.74307
28th St,N-Q-R-W,-73.988698,40.745454
2nd Ave,,-73.99132844431459,40.72424913183421
30th Ave,N-W,-73.921479,40.76677867
33rd St,4-6-6 Express,-73.982076,40.746081
33rd St-Rawson St,7,-73.930997,40.744587
34th St-Herald Sq,NA,-73.98785436,40.74971698
34th St-Hudson Yards,7-7 Express,-74.00219709,40.75544636
